Strategy,Embedding,Time
InData,BERT,76.54862487316132
InData,BERTweet,86.04255833409049
InData,RoBERTa,87.67585297993251
LM,BERT,1432.73642512885
LM,BERTweet,1622.8325123678553
LM,RoBERTa,1558.980660297654
Union,BERT,1590.3237698078156
Union,BERTweet,1610.579975605011
Union,RoBERTa,1570.5503640174866
